"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"SANTA LUISA DE MARILLAC","339303","1007210","primaria","EBR","SANTA ANITA","SIN REI","FARROMEQUE DUEÑAS SOCORRO","active"
"LUMBRERAS DE SANTA ANITA","339708","1007335","secundaria","EBR","SANTA ANITA","SIN REI","ALTAMIRANO CARDENAS RAYMUNDO PABLO","active"
"AMIGOS DE JESUS","338940","1007459","primaria","EBR","SANTA ANITA","SIN REI","ROJAS GASCO LIDA","active"
"SANTA MARIA DE JESUS","856776","1007814","primaria","EBR","SANTA ANITA","SIN REI","GUTIERREZ GARBOZA GREIS","active"
"DIEGO THOMSON","338997","1007897","secundaria","EBR","SANTA ANITA","SIN REI","HERRERA MACEDO JOSE GERMAN","active"
"SAN AGUSTIN","339690","1007970","primaria","EBR","SANTA ANITA","SIN REI","PORRAS CLEMENTE DAVID FERNANDO","active"
"JUAN VALER SANDOVAL","338902","1008176","inicial_jardin","EBR","SANTA ANITA","5","CONDOR TORRES JORGE LUIS","active"
"JUAN VALER SANDOVAL","338902","1008218","primaria","EBR","SANTA ANITA","5","CONDOR TORRES JORGE LUIS","active"
"WILLIAM SHAKESPEARE","339893","1008291","inicial_jardin","EBR","SANTA ANITA","SIN REI","VIDAL LOPEZ MIRIAM CLOTILDE","active"
"WILLIAM SHAKESPEARE","339893","1008333","primaria","EBR","SANTA ANITA","SIN REI","VIDAL LOPEZ MIRIAM CLOTILDE","active"
"NUEVA GENERACION","294366","1008358","primaria","EBR","ATE","SIN REI","TOVAR PEREZ HERMINIO","active"
"SAN MARTIN DE PORRES DE SALAMANCA","293098","1008390","primaria","EBR","ATE","SIN REI","CASTRO JOKON BERTHA AMPARO","active"
"1137 JOSE ANTONIO ENCINAS","338817","1008440","secundaria","EBR","SANTA ANITA","4","ARIAS HUAMANÍ MARIZOL YANETH","active"
"VIRGEN DE LAS MERCEDES","293932","1008598","primaria","EBR","ATE","SIN REI","MARAVI REATEGUI PAMELA","active"
"NUEVA GENERACION","294366","1008630","secundaria","EBR","ATE","SIN REI","TOVAR PEREZ HERMINIO","active"
"DIVINO MAESTRO","510186","1008754","tecnico_productiva","EBR","ATE","SIN REI","DURAN ZEGARRA ISAIAS","active"
"RODOLFO HORACIO ZEBALLOS GAMES","338916","1009042","inicial_jardin","EBR","SANTA ANITA","5","CAJACHAHUA ESPINOZA ELENA JULIA","active"
"CRISTO SALVADOR","294267","1009075","secundaria","EBR","ATE","SIN REI","MARTINEZ VARGAS BATSHEVA KARIM","active"
"SANTA LUISA DE MARILLAC","339303","1009166","inicial_jardin","EBR","SANTA ANITA","SIN REI","FARROMEQUE DUEÑAS SOCORRO","active"
"VIRGEN DEL CARMEN","339567","1009208","inicial_jardin","EBR","SANTA ANITA","SIN REI","MOLINA FUERTES VICTOR RAUL","active"
"SAN IGNACIO DE LOYOLA","338978","1022607","primaria","EBR","SANTA ANITA","SIN REI","LAURENTE RODRIGUEZ MARIA","active"
"SINAI","339256","1022763","primaria","EBR","SANTA ANITA","SIN REI","MUQUILLAZA ROCA MELITON","active"
"VIRGEN DEL CARMEN","300838","1039437","secundaria","EBR","CIENEGUILLA","SIN REI","VALVERDE MURGA FELIX EDGARDO","active"
"JEAN PIAGET","307948","1039460","secundaria","EBR","LA MOLINA","SIN REI","EGOCHEAGA ALVARADO DINA LUZ","active"
"193","292616","1039478","inicial_jardin","EBR","ATE","13","GAMARRA GARCIA ELIZABETH","active"
"CRISTO DE LA PAZ","314473","1039486","inicial_jardin","EBR","LURIGANCHO","SIN REI","ZEVALLOS MALLMA JUAN CARLOS","active"
"NUESTRA SEÑORA DE GUIA","308071","1039502","secundaria","EBR","LA MOLINA","SIN REI","OSHIRO ROJAS DE SOTO FELICITA","active"
"195 ANGELITOS DE JESUS","292169","1039510","inicial_jardin","EBR","ATE","9","VALENCIA VARGAS ELIZABETH","active"
"EDUARDO FORGA","314487","1039528","inicial_jardin","EBR","LURIGANCHO","SIN REI","QUISPE CCALLA SUSANA MARGOT","active"
"196","292560","1039551","inicial_jardin","EBR","ATE","6","MELENDEZ CABRERA ILIANA SEGUNDINA","active"
"HELAMAN","314524","1039569","inicial_jardin","EBR","LURIGANCHO","SIN REI","LOPEZ ABAD VIOLETA CATALINA","active"
"JOHN DEWEY","314543","1039601","inicial_jardin","EBR","LURIGANCHO","SIN REI","TACO BELLIDO SOFIA BASILIA","active"
"SOL DE LA MOLINA","308207","1039627","secundaria","EBR","LA MOLINA","SIN REI","GARCIA SANCHEZ DORA FLORENTINA","active"
"DIVINA GRACIA","298492","1039635","inicial_jardin","EBR","CHACLACAYO","SIN REI","CARHUALLANQUI ALIAGA NELLY RUTH","active"
"VIRGEN DEL ROSARIO DE YUNGAY","307670","1039668","secundaria","EBR","LA MOLINA","SIN REI","VASQUEZ MENDEZ ELMIRA C.","active"
"0053 SAN VICENTE DE PAUL","298067","1039676","secundaria","EBR","CHACLACAYO","17","CALERO CRISTOBAL MILTON CESAR","active"
"HANS CHRISTIAN ANDERSEN","298350","1039759","inicial_jardin","EBR","CHACLACAYO","SIN REI","CHAMBERGO YAURI ROMULA","active"
"SANTA RITA DE CASIA","314369","1039809","inicial_jardin","EBR","LURIGANCHO","SIN REI","GUTIERREZ GALINDO FANNY","active"
"LOMAS DE SANTA MARIA","298524","1039833","inicial_jardin","EBR","CHACLACAYO","SIN REI","QUISPE HILARIO ENEDINA","active"
"MARIE CURIE","298449","1039916","inicial_jardin","EBR","CHACLACAYO","SIN REI","PAJUELO ONCOY GLADYS MARIA ISABEL","active"
"UNION","314722","1039924","inicial_jardin","EBR","LURIGANCHO","SIN REI","ALTEZ ORTIZ ETHEL","active"
"1273 MI PERU","338898","1039940","primaria","EBR","SANTA ANITA","5","ROBLES REYES CONSUELO","active"
"PULGARCITO","298430","1039999","inicial_jardin","EBR","CHACLACAYO","SIN REI","NAVARRO MARTI ROSA MARIA","active"
"AMIGOS DE JESUS","338940","1040021","inicial_jardin","EBR","SANTA ANITA","SIN REI","ROJAS GASCO LIDA","active"
"VIRGEN DE CHAPI","298393","1040039","inicial_jardin","EBR","CHACLACAYO","SIN REI","VALENZUELA VALCARCEL JAVIER MANUEL","active"
"SANTA CRUZ","308165","1040054","inicial_jardin","EBR","LA MOLINA","SIN REI","SALVADOR PEREZ DALILA","active"
"ANTONIO RAIMONDI","619445","1040062","inicial_jardin","EBR","LURIGANCHO","SIN REI","KNUTZEN CARMEN NICOLAS JULIO","active"
"CULTURA NASCA","338983","1040104","inicial_jardin","EBR","SANTA ANITA","SIN REI","QUISPE HUAMAN ANTONIA","active"
"EDUARDO FORGA","314487","1040120","primaria","EBR","LURIGANCHO","SIN REI","QUISPE CCALLA SUSANA MARGOT","active"
