source_row,nombre_ie,cod_local,cod_modular,nivel,modalidad,distrito,rei,nombre_director,estado
2,SACO OLIVEROS DE ATE,621820,0694067,inicial_jard_n,EBR,ATE,SIN REI,ARANGÜENA GONZALES MARY ISABEL,active
3,SACO OLIVEROS DE ATE,621820,0773903,secundaria,EBR,ATE,SIN REI,ARANGÜENA GONZALES MARY ISABEL,active
4,KINDER'S PARADISE,539302,1243039,inicial_jard_n,EBR,LA MOLINA,SIN REI,CUEVA FLORES LILIA,active
5,MIGUEL ANGEL,549631,0834184,secundaria,EBR,CIENEGUILLA,SIN REI,PINO TORRES MANUEL,active
6,MIGUEL ANGEL,549631,0834705,primaria,EBR,CIENEGUILLA,SIN REI,PINO TORRES MANUEL,active
7,JOHNS HOPKINS COLLEGE,327055,0900928,primaria,EBR,ATE,SIN REI,JIMENEZ HERRERA MANUEL GUILLERMO,active
8,NICOLAI I LOBATCHEVSKI,339459,0903872,inicial_jard_n,EBR,SANTA ANITA,SIN REI,ELGUERA AMANQUI JOSE FILOMENO,active
9,NICOLAI I LOBATCHEVSKI,339459,0903658,primaria,EBR,SANTA ANITA,SIN REI,ELGUERA AMANQUI JOSE FILOMENO,active
10,INTERNACIONAL ELIM - DATA SYSTEM,842987,1503721,t_cnico_productiva,EBR,ATE,SIN REI,ESPIRITU RODRIGUEZ ANAMELBA GLORIA,active
11,RAMIRO PRIALE PRIALE,293729,1045723,inicial_jard_n,EBR,ATE,SIN REI,LOPEZ DE LA CRUZ SANTOS DOMITI,active
12,EDUARDO PALACI,294314,0705491,inicial_jard_n,EBR,ATE,SIN REI,MAYURI VALLEJOS ROCIO KARIN,active
13,AMIGUITO,300824,1066380,inicial_jard_n,EBR,CIENEGUILLA,SIN REI,LEIVA MARTELL RAQUEL MAGDALENA,active
14,ESCUELA ACTIVA,293890,1066786,inicial_jard_n,EBR,ATE,SIN REI,CHAVEZ URTECHO BRUNO JANMANE,active
15,CORAZON DE GUADALUPE,294234,1075019,inicial_jard_n,EBR,ATE,SIN REI,CHUCHON MENDOZA MARCELINA,active
16,LA PAZ,293220,0778381,inicial_jard_n,EBR,ATE,SIN REI,MIRANDA RODRIGUEZ MARIA ANTONIETA,active
17,HOLY TRINITY COLLEGE,314449,1076371,inicial_jard_n,EBR,LURIGANCHO,SIN REI,ASPAJO TAMANI SEGUNDO,active
18,SALESIAN COLLEGE,294050,1066745,inicial_jard_n,EBR,ATE,SIN REI,OBREGON ALBINO ALEJANDRO GUSTAVO,active
19,FOYER SANTA ROSA,314345,0777862,inicial_jard_n,EBR,LURIGANCHO,SIN REI,COLLAZOS VILLACORTA REYDELINDA,active
20,CRISTO SALVADOR,294267,0864330,inicial_jard_n,EBR,ATE,SIN REI,MARTINEZ VARGAS BATSHEVA KARIM,active
21,ANTONIO RAIMONDI,307627,0335562,inicial_cuna_jard_n,EBR,LA MOLINA,SIN REI,SABA CAFFERATA FARUZ JOSELLIN,active
22,LORD BYRON,307793,0692392,inicial_jard_n,EBR,LA MOLINA,SIN REI,URDAY CACERES JANETTE,active
